country;director;genre;imdb_rating;title;year
['США'];['Джеймс Кэмерон'];['эпический фильм', 'научная фантастика', 'боевик', 'приключения', 'фэнтези'];;Аватар 4;2029
['Италия'];['Кармине Галлоне'];['мистическая', 'драма'];7.2;Аватар;1916
['Великобритания'];['Энтони Хопкинс'];['комедия', 'драма'];5.8;Август;1996
['США'];['Чарльз Бэнд'];['Ужасы'];4.8;Авария!;1976
['Румыния'];['Серджиу Николаеску'];['боевик'];6.7;Авария (Несчастный случай);1976
['США'];['Джонатан Мостоу'];['триллер'];7.0;Авария;1997
['ЮАР', 'США', 'Заир'];['Джеймс Аллен'];['детектив'];3.6;Авария;1990
['СССР'];['Витаутас Жалакявичюс'];['детектив', 'драма'];6.6;Авария;1974
['США', 'Великобритания'];['Джеймс Кэмерон'];['эпический фильм', 'научная фантастика', 'боевик', 'драма', 'приключения'];7.9;Аватар;2009
['Польша'];['Роман Залуски'];['комедия'];6.7;Аварийный выход;1982
['СССР'];['Александр Абрамов', 'Наум Бирман'];['Детектив'];6.8;Авария;1965
['СССР'];['Михаил Туманишвили'];['драма'];6.6;Авария — дочь мента;1989
['Россия'];['Константин Буслов'];['приключения'];4.1;Авантюристы;2014
['Франция'];['Анри Вернёй'];['драма', 'комедия', 'боевик', 'военный', 'приключения'];6.1;Авантюристы;1984
['Китайская Республика'];['Чжан Пэйчэн'];['военная', 'драма', 'приключенческий фильм'];;Авантюрист;1976
['США'];['Дэвид Уорк Гриффит'];['короткометражный фильм'];5.1;Авантюра леди Хелен;1909
['Великобритания'];['Дэвид Макдональд'];['приключенческий фильм'];5.5;Авантюристы;1951
['США', 'Италия'];['Билли Уайлдер'];['комедия'];7.2;Аванти!;1972
['Китай'];['Стэнли Тонг'];['боевик', 'криминал комедия'];4.7;Авангард: Арктические волки;2020
['Россия', 'Украина'];['Виталий Макаров'];['комедия шпионский фильм'];4.2;Авантюра;1995
['Узбекистан'];['Музаффархон Эркинов'];['история', 'биография'];;Абдулла Арипов;2023
['США'];['Барри Левинсон'];['драма'];7.2;Авалон;1990
['Россия'];['Баранов Егор Геннадьевич'];['фильм-триллер', 'постапокалиптический фильм', 'научно-фантастический фильм'];6.0;Аванпост;2019
['Германия', 'Азербайджан'];['Файт Хельмер'];['Комедия'];6.7;Абсурдистан;2008
['Великобритания', 'Австралия'];['Джулиен Темпл'];['драма', 'фэнтези', 'мелодрама', 'мюзикл'];5.6;Абсолютные новички;1986
['СР Югославия'];['Срджан Голубович'];['криминал', 'драма', 'боевик', 'триллер'];7.5;Абсолютная сотня;2001
['СССР'];['Шухрат Аббасов'];['драма'];6.5;Абу Райхан Беруни;1974
['Япония', 'Польша'];['Мамору Осии'];['фантастика', 'триллер', 'драма', 'киберпанк'];6.4;Авалон;2001
['Франция'];['Леа Мисиус'];['драма'];6.6;Ава;2017
['США'];['Дэмьен Ли'];['боевик'];2.9;Абраксас, хранитель Вселенной;1991
['Армения'];['Пуриа Хейдари Урех'];['драма', 'мелодрама'];7.6;Абрикосовые рощи;2016
['Великобритания', 'Канада'];['Дэвид Барто'];['фантастический боевик'];4.2;Абсолон;2003
['США'];['Трейси Дроз Трагос'];['документальный фильм'];7.2;Аборт: Истории, рассказанные женщинами;2016
['СССР'];['Елена Николаева'];['Драма'];7.0;Абориген;1988
['США'];['Клинт Иствуд'];['драма', 'триллер'];6.7;Абсолютная власть;1997
['США'];['Даниэль Рагуссис'];['драма', 'триллер', 'детектив'];6.5;Абсолютная власть;2016
['СССР'];['Алексей Мишурин'];['Драма'];6.1;Абитуриентка;1973
['СССР'];['Зульфикар Мусаков'];['фантастический фильм', 'комедия'];7.1;Абдулладжан, или Посвящается Стивену Спилбергу;1991
['Грузия'];['Леонард Эсакия'];['опера', 'драма', 'романтика'];7.5;Абесалом и Этери;1966
['Нидерланды'];['Алекс ван Вармердам'];['комедия'];7.4;Абель;1986
['Великобритания'];['Майкл Энглер'];['драма'];7.4;Аббатство Даунтон;2019
['Великобритания', 'США'];['Саймон Кёртис'];[];;Аббатство Даунтон 3;2025
['США'];['Даррен Линн Боусман'];['фильм ужасов'];4.5;Абатуар. Лабиринт страха;2016
['СССР'];['Владимир Довгань'];['драма'];6.1;А теперь суди…;1966
['Великобритания', 'США'];['Саймон Кёртис'];['историческая драма'];7.4;Аббатство Даунтон: Новая эра;2022
['Великобритания'];['Иан Макнафтон'];['комедия'];7.5;Монти Пайтон: а теперь нечто совсем другое;1971
['Китайская Республика'];['Цай Минлян'];['драма'];7.3;А у вас который час?;2001
['Индия'];['Атма Рам'];['криминальный триллер'];5.0;Аафат;1977
['Российская империя'];['Николай Козловский'];['драма'];;А защищал её Плевако;1916
['Россия'];['Иосиф Райхельгауз'];['комедия', 'мюзикл'];6.7;«А чой-то ты во фраке?»;1993
['СССР'];['Владимир Шамшурин'];['военная драма'];6.7;А у нас была тишина...;1977
['Россия'];['Сергей Никоненко'];['комедия', 'драма'];6.0;А поутру они проснулись;2003
['СССР', 'Таджикская ССР'];['Маргарита Касымова'];['мелодрама'];4.0;А счастье рядом;1978
['Гонконг'];['Хэ Мэнхуа'];['боевик', 'приключенческий фильм'];6.4;Аббат Шаолиня;1979
['Франция', 'Великобритания'];['Клод Лелуш'];['криминальный фильм', 'драма', 'мелодрама', 'триллер'];6.1;А теперь, дамы и господа;2002
['Грузия', 'Франция', 'Швеция'];['Леван Акин'];['драма'];7.6;А потом мы танцевали;2019
['Россия'];['Ренат Давлетьяров'];['драма', 'военный'];6.7;А зори здесь тихие…;2015
